,genre,budget_norm,votes_norm,votes,budget,country,year,score_norm,score,rating,isprofit,profitability_ratio
1877,5,-1.1071672533782897,-0.7019205681974076,15448,3500000,1,2008,0.1446894699177893,6.4,6,0,-0.992186
1878,4,-0.3275323634813477,-0.6621734991320295,17753,22000000,1,2008,-0.5593774552601488,5.8,5,0,-0.060507136
1879,6,-0.9175263342141684,-0.7739826079476095,11269,8000000,1,2008,0.2620339574474452,6.5,6,0,-0.575854875
1880,0,0.641743445579715,-0.6882806846265989,16239,45000000,1,2008,-0.324688480200836,6.0,6,0,-0.824069178
1881,6,-0.9596687606950842,-0.6375147968485194,19183,7000000,1,2008,0.6140674200364137,6.8,6,0,-0.665021857
1882,6,-0.833241481252337,-0.8822912156697961,4988,10000000,1,2008,0.379378444977101,6.6,0,1,0.7655201
1883,4,-0.8753839077332527,-0.6997478433808186,15574,9000000,1,2008,0.1446894699177893,6.4,6,0,-0.457570333
1884,0,-0.833241481252337,-0.6163393518106519,20411,10000000,1,2008,-0.6767219427898046,5.7,6,0,-0.9419138
1885,2,0.4310313131751361,1.6915082557528842,154247,40000000,1,2009,1.7875122953329765,7.8,4,0,-0.474927025
1886,2,1.2738798427934517,1.810680487558016,161158,60000000,1,2009,1.6701678078033204,7.7,4,1,0.254770483
1887,6,0.7260282985415465,2.018158463694515,173190,47000000,0,2009,1.904856782862633,7.9,6,0,-0.999923404
1888,6,-0.7910990547714212,0.0708452249027471,60262,11000000,1,2009,0.0273449823881324,6.3,6,0,-0.720469273
1889,4,-0.5803869223668423,0.7248181508482858,98187,16000000,1,2009,-1.3807888679677427,5.1,6,1,0.012799563
1890,5,0.8524555779842938,3.041029024570914,232508,50000000,1,2009,1.318134345214352,7.4,6,1,0.46686826
1891,0,1.4845919751980303,-0.1621536459047971,46750,65000000,1,2009,-0.6767219427898046,5.7,4,1,0.033424523
1892,6,0.0096070483659784,0.4099110032248863,79925,30000000,1,2009,1.318134345214352,7.4,5,1,0.640007667
1893,6,1.4845919751980303,1.32643875502268,133076,65000000,1,2009,0.4967229325067578,6.7,5,0,-0.325864015
1894,0,0.1360343278087257,1.2545319099022345,128906,33000000,0,2009,0.6140674200364137,6.8,6,0,-0.686943848
1895,4,-0.4118172164431792,1.711373168361698,155399,20000000,1,2009,0.1446894699177893,6.4,5,1,2.20835345
1896,6,-0.9596687606950842,0.6258384647592313,92447,7000000,1,2009,1.5528233202736634,7.6,6,1,0.309551857
1897,0,2.116728372411767,1.741549901925434,157149,80000000,1,2009,0.0273449823881324,6.3,5,0,-0.51777785
1898,2,3.1702890344346613,0.7196449965230739,97887,105000000,1,2009,0.9661008826253824,7.1,0,0,-0.005705724
1899,1,0.4310313131751361,1.30324577979798,131731,40000000,0,2009,0.6140674200364137,6.8,5,0,-0.807759825
1900,4,0.4310313131751361,2.0444035999710897,174712,40000000,1,2009,0.8487563950957264,7.0,6,1,0.786000275
1901,0,0.4310313131751361,-0.3154686962563274,37859,40000000,1,2009,-0.4420329677304919,5.9,5,0,-0.65404675
