budget,company,country,director,genre,gross,name,rating,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
27000000,Warner Bros.,USA,Joe Dante,Action,25893810,Innerspace,PG,1.07.1987 00:00,Dennis Quaid,Chip Proser,1987,0,-0.04097,0
15000000,Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,80640528,Moonstruck,PG,15.01.1988 00:00,Cher,John Patrick Shanley,1987,1,4.3760352,440
28000000,Paramount Pictures,USA,Tony Scott,Action,153665000,Beverly Hills Cop II,R,20.05.1987 00:00,Eddie Murphy,Danilo Bach,1987,1,4.488035714,450
23000000,Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,43984230,The Last Emperor,PG-13,15.04.1988 00:00,John Lone,Mark Peploe,1987,1,0.912357826,90
13000000,Touchstone Pictures,USA,Barry Levinson,Biography,123922370,"Good Morning, Vietnam",R,15.01.1988 00:00,Robin Williams,Mitch Markowitz,1987,1,8.53249,850
2600000,Merchant Ivory Productions,UK,James Ivory,Drama,3130592,Maurice,R,18.09.1987 00:00,James Wilby,E.M. Forster,1987,1,0.204073846,20
11000000,Interscope Communications,USA,Leonard Nimoy,Comedy,167780960,3 Men and a Baby,PG,25.11.1987 00:00,Tom Selleck,Coline Serreau,1987,1,14.25281455,1430
3000000,Alive Films,USA,John Carpenter,Horror,14182492,Prince of Darkness,R,23.10.1987 00:00,Donald Pleasence,John Carpenter,1987,1,3.727497333,370
6500000,Columbia Pictures Corporation,USA,Luis Valdez,Biography,54215416,La Bamba,PG-13,24.07.1987 00:00,Lou Diamond Phillips,Luis Valdez,1987,1,7.340833231,730
5000000,F/M,USA,Kathryn Bigelow,Action,3369307,Near Dark,R,1988,Adrian Pasdar,Kathryn Bigelow,1987,0,-0.3261386,-30
15000000,Orion Pictures,USA,Roger Donaldson,Action,35509515,No Way Out,R,14.08.1987 00:00,Kevin Costner,Kenneth Fearing,1987,1,1.367301,140
20000000,Amercent Films,USA,James L. Brooks,Comedy,51249404,Broadcast News,R,25.12.1987 00:00,William Hurt,James L. Brooks,1987,1,1.5624702,160
2500000,New Century Entertainment Corporation,Canada,Tibor Takács,Fantasy,13539458,Túnel al infierno,PG-13,15.05.1987 00:00,Stephen Dorff,Michael Nankin,1987,1,4.4157832,440
17000000,Cannon Films,UK,Sidney J. Furie,Action,15681020,Superman IV: The Quest for Peace,PG,24.07.1987 00:00,Christopher Reeve,Joe Shuster,1987,0,-0.077587059,-10
3500000,Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,14000000,Creepshow 2,R,1.05.1987 00:00,George Kennedy,Stephen King,1987,1,3,300
3000000,Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,7888703,Teen Wolf Too,PG,20.11.1987 00:00,Jason Bateman,Jeph Loeb,1987,1,1.629567667,160
12000000,Columbia Pictures Industries,USA,Fred Schepisi,Comedy,40050884,Roxanne,PG,19.06.1987 00:00,Steve Martin,Edmond Rostand,1987,1,2.337573667,229
12000000,Rastar Pictures,USA,Herbert Ross,Comedy,66995879,The Secret of My Succe$s,PG-13,10.04.1987 00:00,Michael J. Fox,Jim Cash,1987,1,4.582989917,459
20000000,Applied Action,USA,Tom Mankiewicz,Comedy,57387516,Dragnet,PG-13,26.06.1987 00:00,Dan Aykroyd,Dan Aykroyd,1987,1,1.8693758,190
18000000,TriStar Pictures,USA,Blake Edwards,Comedy,39321715,Blind Date,PG-13,27.03.1987 00:00,Kim Basinger,Dale Launer,1987,1,1.184539722,120
1000000,Atlantic Entertainment Group,USA,Rod Amateau,Adventure,1576615,The Garbage Pail Kids Movie,PG,22.08.1987 00:00,Anthony Newley,Linda Palmer,1987,1,0.576615,60
14000000,Orion Pictures,USA,Danny DeVito,Comedy,57915972,Throw Momma from the Train,PG-13,11.12.1987 00:00,Danny DeVito,Stu Silver,1987,1,3.136855143,310
3000000,Golan-Globus Productions,USA,Barbet Schroeder,Comedy,3221568,Barfly,R,16.10.1987 00:00,Mickey Rourke,Charles Bukowski,1987,1,0.073856,10
6000000,Universal Pictures,USA,Phil Joanou,Comedy,3685862,Three O'Clock High,PG-13,9.10.1987 00:00,Casey Siemaszko,Richard Christian Matheson,1987,0,-0.385689667,-40
15000000,Amercent Films,USA,James Toback,Comedy,13290368,The Pick-up Artist,PG-13,18.09.1987 00:00,Molly Ringwald,James Toback,1987,0,-0.113975467,-10
16000000,Orion Pictures,USA,Woody Allen,Comedy,14792779,Radio Days,PG,30.01.1987 00:00,Mia Farrow,Woody Allen,1987,0,-0.075451313,-10
3000000,Emshell Producers,USA,John R. Cherry III,Comedy,23509382,Ernest Goes to Camp,PG,22.05.1987 00:00,Jim Varney,John R. Cherry III,1987,1,6.836460667,680
17000000,Columbia Pictures Corporation,USA,Ridley Scott,Crime,10278549,Someone to Watch Over Me,R,9.10.1987 00:00,Tom Berenger,Howard Franklin,1987,0,-0.395379471,-40
29000000,Universal Pictures,UK,Richard Attenborough,Biography,5899797,Cry Freedom,PG,6.11.1987 00:00,Denzel Washington,John Briley,1987,0,-0.796558724,-80
6000000,Fourth Protocol,UK,John Mackenzie,Thriller,12423831,The Fourth Protocol,R,28.08.1987 00:00,Michael Caine,George Axelrod,1987,1,1.0706385,110
27000000,Home Box Office (HBO),USA,Hector Babenco,Drama,7393346,Ironweed,R,12.02.1988 00:00,Jack Nicholson,William Kennedy,1987,0,-0.72617237,-70
5000000,Cannon Group,USA,J. Lee Thompson,Action,6880310,Death Wish 4: The Crackdown,R,6.11.1987 00:00,Charles Bronson,Brian Garfield,1987,1,0.376062,40
18000000,Amercent Films,USA,Jonathan Kaplan,Comedy,18532286,Project X,PG,17.04.1987 00:00,Matthew Broderick,Lawrence Lasker,1987,1,0.029571444,0
4000000,Cannon Films,USA,Ruggero Deodato,Fantasy,800000,The Barbarians,R,20.03.1987 00:00,David Paul,Alberto Piferi,1987,0,-0.8,-80
55000000,Columbia Pictures Corporation,USA,Elaine May,Action,14375181,Ishtar,PG-13,15.05.1987 00:00,Warren Beatty,Elaine May,1987,0,-0.738633073,-70
100000,Conquering Unicorn,USA,Robert Townsend,Comedy,5228617,Hollywood Shuffle,R,20.03.1987 00:00,Robert Townsend,Robert Townsend,1987,1,51.28617,5130
22000000,Carolco Entertainment,USA,Walter Hill,Action,11307844,Extreme Prejudice,R,24.04.1987 00:00,Nick Nolte,John Milius,1987,0,-0.486007091,-50
350000,Cannon Group,USA,Sam Firstenberg,Action,4000000,American Ninja 2: The Confrontation,R,1.05.1987 00:00,Michael Dudikoff,Gary Conway,1987,1,10.42857143,1040
4000000,Cinecom Entertainment Group,USA,John Sayles,Drama,1680358,Matewan,PG-13,30.06.1988 00:00,Chris Cooper,John Sayles,1987,0,-0.5799105,-60
24000000,Columbia Pictures,USA,Paul Weiland,Action,4916871,Leonard Part 6,PG,18.12.1987 00:00,Bill Cosby,Jonathan Reynolds,1987,0,-0.795130375,-80
5000000,Golan-Globus Productions,USA,Jerry Schatzberg,Crime,1119112,Street Smart,R,20.03.1987 00:00,Christopher Reeve,David Freeman,1987,0,-0.7761776,-80
9000000,Gladden Entertainment,USA,Michael Cimino,Action,5406879,The Sicilian,R,23.10.1987 00:00,Christopher Lambert,Mario Puzo,1987,0,-0.399235667,-40
7000000,De Laurentiis Entertainment Group (DEG),USA,Bob Giraldi,Comedy,7019441,Hiding Out,PG-13,6.11.1987 00:00,Jon Cryer,Joe Menosky,1987,1,0.002777286,0
10000000,Orion Pictures,USA,Harley Cokeliss,Action,3060858,Malone,R,1.05.1987 00:00,Burt Reynolds,Christopher Frank,1987,0,-0.6939142,-70
