,rating,year,budget,country,budget_norm,isprofit,profitability_ratio
231,6,1990,35000000,1,0.1648446258808837,0,-0.112754257
232,5,1990,20000000,0,-0.4631522115603202,1,0.07065525
233,6,1990,18000000,1,-0.5468851232191475,1,0.632330889
234,6,1990,47000000,1,0.6672420958338469,0,-0.666144851
235,4,1990,25000000,1,-0.2538199324132523,0,-0.72240216
236,6,1990,1500000,0,-1.2376816444044718,1,2.819302
237,5,1990,23000000,0,-0.3375528440720794,1,0.193129435
238,6,1990,7000000,1,-1.007416137342697,0,-0.378804571
239,6,1990,18000000,1,-0.5468851232191475,0,-0.847616
240,6,1990,38000000,1,0.2904439933691245,1,1.126815105
241,6,1990,22000000,1,-0.3794192999014931,1,0.725603682
242,6,1990,15000000,1,-0.6724844907073882,1,0.0173436
243,6,1990,19000000,1,-0.5050186673897339,0,-0.473370053
244,6,1990,2500000,1,-1.1958151885750583,0,-0.9179728
245,5,1990,20000000,1,-0.4631522115603202,0,-0.23103735
246,5,1990,23000000,1,-0.3375528440720794,0,-0.74695587
247,5,1990,22000000,1,-0.3794192999014931,0,-0.329070409
248,6,1990,25000000,0,-0.2538199324132523,0,-0.91699664
249,6,1990,40000000,1,0.3741769050279517,0,-0.7689215
250,4,1990,24000000,1,-0.2956863882426659,0,-0.903369833
251,6,1990,2000000,1,-1.216748416489765,0,-0.1860225
252,6,1990,242000,1,-1.2903496458378745,0,-0.036570248
253,5,1991,30000000,1,-0.0444876532661842,1,2.7834
254,4,1991,70000000,1,1.6301705799103596,1,0.709354614
255,6,1991,16500000,1,-0.6096848069632679,1,1.749151515
256,6,1991,13000000,0,-0.7562174023662155,1,0.150788846
257,5,1991,11000000,1,-0.8399503140250427,0,-0.744740545
258,4,1991,30000000,1,-0.0444876532661842,1,1.496299867
259,6,1991,40000000,0,0.3741769050279517,1,0.76013745
260,6,1991,9000000,1,-0.9236832256838698,0,-0.316229
261,4,1991,35000000,1,0.1648446258808837,1,0.3344016
262,6,1991,16000000,0,-0.6306180348779747,0,-0.841153688
263,5,1991,26000000,1,-0.2119534765838387,1,1.671831423
264,4,1991,35000000,1,0.1648446258808837,1,0.820285714
265,6,1991,2500000,1,-1.1958151885750583,1,1.5605344
266,6,1991,38000000,1,0.2904439933691245,0,-0.074110737
267,6,1991,24000000,1,-0.2956863882426659,1,0.745645458
268,6,1991,29000000,1,-0.0863541090955978,1,1.052066379
