,rating,country,votes_norm,popularity_norm,score,votes,budget_norm,company,score_norm,genre,year,writer,popularity,budget,isprofit,profitability_ratio
333,4,1,-0.6963728471383989,0.1464483033154497,6.2,32623,-0.2373060956994314,4,-0.3164560164884759,3,2013,90,10.850442,28000000,0,-0.883779571
334,4,1,-0.2723298081187831,0.4739194623566286,6.2,67526,-0.016796057407418,10,-0.3164560164884759,5,2013,54,12.136158,35000000,0,-0.4371096
335,3,1,-0.4838471364095177,0.351518547301967,6.4,50116,0.1407111128011629,10,-0.04603434817159,4,2013,465,11.655588,40000000,0,-0.2548185
336,3,0,-0.8936391802490627,-1.2548306461665637,5.5,16386,-0.6468247382417419,10,-1.262931855597576,3,2013,446,5.348746,15000000,0,-0.977891067
337,2,1,-0.2708476074265677,-0.3300151575387227,6.5,67648,3.133347346764202,10,0.0891764859868523,2,2013,96,8.979753,135000000,0,-0.38497683
338,4,1,-0.9269522482659034,-1.254343660816699,6.1,13644,-0.99334051270062,10,-0.4516668506469194,8,2013,464,5.350658,4000000,0,-0.99774025
339,2,1,-0.6390894351400753,0.3384252126364346,5.8,37338,0.4557254532183249,10,-0.8572993531222477,2,2013,219,11.604181,50000000,1,0.80577424
340,3,1,-1.0066752068094875,-1.1814494421057955,6.5,7082,-1.0153915165298215,10,0.0891764859868523,6,2013,410,5.636855,3300000,0,-0.588011212
341,4,1,-0.7224450002981874,0.3957453240313439,6.1,30477,-0.33181039782458,10,-0.4516668506469194,0,2013,321,11.829231,25000000,0,-0.99599424
342,3,0,-0.5529881539455643,-0.952267055814703,6.8,44425,-0.9145869275963296,10,0.4948089884621806,1,2013,491,6.53667,6500000,0,-0.651031385
343,4,0,-0.7432444067332096,-0.6614257529849008,6.1,28765,-0.8515840595128972,10,-0.4516668506469194,0,2013,124,7.67857,8500000,0,-0.999201529
344,4,1,-1.0072097709935652,-1.671767024884939,6.6,7038,-0.9618390786589038,10,0.2243873201452946,6,2013,207,3.711772,5000000,0,-0.991992
345,3,1,-0.9386397651996016,-0.9068006568584476,6.3,12682,-0.8043319084503229,10,-0.1812451823300335,6,2013,378,6.71518,10000000,0,-0.9347645
