,budget_norm,year,budget,genre,popularity_norm,votes_norm,country,popularity,votes,isprofit,profitability_ratio
1288,0.2254332237536246,2003,35000000,0,0.2107044656581644,1.054522960145584,0,8.739991,121464,0,-0.197646686
1289,-0.1598365403035466,2003,26000000,0,0.6877962513266598,-0.4853934373107748,1,10.445141,28662,1,0.838889923
1290,2.57985955965856,2003,90000000,4,1.0125242012994726,-0.3853508093473216,1,11.605735,34691,0,-0.1572526
1291,-0.2882597949892703,2003,23000000,4,0.8234971985939333,1.0016558490672025,1,10.930143,118278,1,1.611318609
1292,0.011394465944085,2003,30000000,4,-0.694049749826524,-0.5904307295663161,1,5.506354,22332,0,-0.4803514
1293,1.2956270128013223,2003,60000000,0,1.282820907109632,0.5939352632834888,1,12.571789,93707,0,-0.103492483
1294,1.3812425159251382,2003,62000000,4,-0.6848414292927669,0.8955897555289053,1,5.539265,111886,0,-0.404734516
1295,1.2956270128013223,2003,60000000,4,-0.4146544029712053,-0.0765444888298453,1,6.504927,53301,1,0.73828435
1296,0.6963184909346116,2003,46000000,0,0.9788755414583654,1.01068275064493,1,11.485473,118822,1,0.147872609
1297,0.2682409753155325,2003,36000000,0,2.7216529570437955,-0.2909334013008713,1,17.714247,40381,0,-0.272688972
1298,0.1398177206298087,2003,33000000,4,-0.6224254064423685,-0.440524426527365,1,5.762343,31366,1,3.021717485
1299,2.151782044039481,2003,80000000,0,-0.2809587437008153,-0.0474559622383817,1,6.982762,55054,0,-0.756475713
1300,2.151782044039481,2003,80000000,2,1.5891117910081252,-0.5154112037705338,0,13.666488,26853,0,-0.73760795
1301,1.2956270128013223,2003,60000000,6,0.2305614893973624,0.3755141135268235,1,8.810961,80544,0,-0.175939533
1302,1.0815882549917828,2003,55000000,4,-0.2854388150564872,-0.1903597791269635,1,6.96675,46442,0,-0.384859255
1303,1.2956270128013223,2003,60000000,0,-0.4053987971477212,-0.5451634731250655,1,6.538007,25060,1,0.115582717
1304,1.2956270128013223,2003,60000000,4,1.534096895281149,0.3795795379506162,1,13.469862,80789,0,-0.4112062
1305,1.038780503429875,2003,54000000,4,0.959245990740162,-0.2493001364874189,1,11.415316,42890,0,-0.887616019
1306,-0.7591450621702575,2003,12000000,10,-0.6119932642679852,-0.6383197699216863,0,5.799628,19446,0,-0.6041165
1307,-0.459490801236902,2003,19000000,4,0.3618067074403617,-0.4289421153118251,1,9.280038,32064,1,0.382971842
1308,-0.50229855279881,2003,18000000,4,-0.5556079345227676,0.044123945495952,1,6.001152,60573,1,2.118175667
1309,0.8675494971822433,2003,50000000,0,-0.1446942900814107,0.4884831318010297,1,7.469778,87352,1,0.20953744
1310,0.6535107393727038,2003,45000000,4,-0.1955419248309091,-0.122425707326934,1,7.288046,50536,1,1.004140622
1311,2.451436304972836,2003,87000000,6,-0.0378432452344895,0.0342673654643893,1,7.851669,59979,1,0.382504069
1312,-0.4166830496749941,2003,20000000,4,-0.6804142391190976,-0.4491696760163282,1,5.555088,30845,1,0.8461095
1313,-0.973183819979797,2003,7000000,0,-0.6395110645321828,-0.4088141160217822,0,5.701278,33277,1,0.464245571
1314,0.011394465944085,2003,30000000,0,0.1056684484707641,-0.3490606737765682,1,8.364587,36878,1,0.153468467
1315,0.2254332237536246,2003,35000000,3,-0.6072809633828851,-0.3994387494934439,1,5.81647,33842,1,0.493642429
1316,-0.4166830496749941,2003,20000000,4,-0.991088105642285,-0.7135052314082356,1,4.444724,14915,0,-0.2295589
1317,-0.7591450621702575,2003,12000000,4,-1.7603428259816136,-0.5629185920371397,1,1.695369,23990,0,-0.5898195
1318,-1.0587993231036128,2003,5000000,3,-1.3931199498641536,-0.7401379097763469,1,3.007842,13310,0,-0.8543494
