budget,company,director,gross,name,released,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
6500000,Columbia Pictures Corporation,Luis Valdez,54215416,La Bamba,24.07.1987 00:00,6.8,Lou Diamond Phillips,22839,Luis Valdez,1987,1,7.340833231,730
5000000,F/M,Kathryn Bigelow,3369307,Near Dark,1988,7,Adrian Pasdar,27485,Kathryn Bigelow,1987,0,-0.3261386,-30
15000000,Orion Pictures,Roger Donaldson,35509515,No Way Out,14.08.1987 00:00,7.1,Kevin Costner,28684,Kenneth Fearing,1987,1,1.367301,140
20000000,Amercent Films,James L. Brooks,51249404,Broadcast News,25.12.1987 00:00,7.2,William Hurt,22802,James L. Brooks,1987,1,1.5624702,160
2500000,New Century Entertainment Corporation,Tibor Takács,13539458,Túnel al infierno,15.05.1987 00:00,6,Stephen Dorff,11435,Michael Nankin,1987,1,4.4157832,440
17000000,Cannon Films,Sidney J. Furie,15681020,Superman IV: The Quest for Peace,24.07.1987 00:00,3.6,Christopher Reeve,35866,Joe Shuster,1987,0,-0.077587059,-10
3500000,Laurel Entertainment Inc.,Michael Gornick,14000000,Creepshow 2,1.05.1987 00:00,6,George Kennedy,17500,Stephen King,1987,1,3,300
3000000,Atlantic Entertainment Group,Christopher Leitch,7888703,Teen Wolf Too,20.11.1987 00:00,3.2,Jason Bateman,8905,Jeph Loeb,1987,1,1.629567667,160
12000000,Columbia Pictures Industries,Fred Schepisi,40050884,Roxanne,19.06.1987 00:00,6.6,Steve Martin,34794,Edmond Rostand,1987,1,2.337573667,229
12000000,Rastar Pictures,Herbert Ross,66995879,The Secret of My Succe$s,10.04.1987 00:00,6.5,Michael J. Fox,24685,Jim Cash,1987,1,4.582989917,459
20000000,Applied Action,Tom Mankiewicz,57387516,Dragnet,26.06.1987 00:00,5.9,Dan Aykroyd,27387,Dan Aykroyd,1987,1,1.8693758,190
18000000,TriStar Pictures,Blake Edwards,39321715,Blind Date,27.03.1987 00:00,5.9,Kim Basinger,17903,Dale Launer,1987,1,1.184539722,120
1000000,Atlantic Entertainment Group,Rod Amateau,1576615,The Garbage Pail Kids Movie,22.08.1987 00:00,2.7,Anthony Newley,6348,Linda Palmer,1987,1,0.576615,60
14000000,Orion Pictures,Danny DeVito,57915972,Throw Momma from the Train,11.12.1987 00:00,6.2,Danny DeVito,28550,Stu Silver,1987,1,3.136855143,310
3000000,Golan-Globus Productions,Barbet Schroeder,3221568,Barfly,16.10.1987 00:00,7.3,Mickey Rourke,15647,Charles Bukowski,1987,1,0.073856,10
6000000,Universal Pictures,Phil Joanou,3685862,Three O'Clock High,9.10.1987 00:00,7.2,Casey Siemaszko,8970,Richard Christian Matheson,1987,0,-0.385689667,-40
15000000,Amercent Films,James Toback,13290368,The Pick-up Artist,18.09.1987 00:00,5.2,Molly Ringwald,5348,James Toback,1987,0,-0.113975467,-10
16000000,Orion Pictures,Woody Allen,14792779,Radio Days,30.01.1987 00:00,7.6,Mia Farrow,26467,Woody Allen,1987,0,-0.075451313,-10
3000000,Emshell Producers,John R. Cherry III,23509382,Ernest Goes to Camp,22.05.1987 00:00,5.5,Jim Varney,9526,John R. Cherry III,1987,1,6.836460667,680
17000000,Columbia Pictures Corporation,Ridley Scott,10278549,Someone to Watch Over Me,9.10.1987 00:00,6.1,Tom Berenger,7854,Howard Franklin,1987,0,-0.395379471,-40
29000000,Universal Pictures,Richard Attenborough,5899797,Cry Freedom,6.11.1987 00:00,7.5,Denzel Washington,10692,John Briley,1987,0,-0.796558724,-80
6000000,Fourth Protocol,John Mackenzie,12423831,The Fourth Protocol,28.08.1987 00:00,6.5,Michael Caine,7532,George Axelrod,1987,1,1.0706385,110
27000000,Home Box Office (HBO),Hector Babenco,7393346,Ironweed,12.02.1988 00:00,6.8,Jack Nicholson,6874,William Kennedy,1987,0,-0.72617237,-70
5000000,Cannon Group,J. Lee Thompson,6880310,Death Wish 4: The Crackdown,6.11.1987 00:00,5.3,Charles Bronson,6770,Brian Garfield,1987,1,0.376062,40
18000000,Amercent Films,Jonathan Kaplan,18532286,Project X,17.04.1987 00:00,6.1,Matthew Broderick,8879,Lawrence Lasker,1987,1,0.029571444,0
4000000,Cannon Films,Ruggero Deodato,800000,The Barbarians,20.03.1987 00:00,4.9,David Paul,2538,Alberto Piferi,1987,0,-0.8,-80
55000000,Columbia Pictures Corporation,Elaine May,14375181,Ishtar,15.05.1987 00:00,4.2,Warren Beatty,9094,Elaine May,1987,0,-0.738633073,-70
100000,Conquering Unicorn,Robert Townsend,5228617,Hollywood Shuffle,20.03.1987 00:00,7,Robert Townsend,3009,Robert Townsend,1987,1,51.28617,5130
22000000,Carolco Entertainment,Walter Hill,11307844,Extreme Prejudice,24.04.1987 00:00,6.6,Nick Nolte,4924,John Milius,1987,0,-0.486007091,-50
350000,Cannon Group,Sam Firstenberg,4000000,American Ninja 2: The Confrontation,1.05.1987 00:00,4.8,Michael Dudikoff,6565,Gary Conway,1987,1,10.42857143,1040
4000000,Cinecom Entertainment Group,John Sayles,1680358,Matewan,30.06.1988 00:00,7.9,Chris Cooper,6198,John Sayles,1987,0,-0.5799105,-60
24000000,Columbia Pictures,Paul Weiland,4916871,Leonard Part 6,18.12.1987 00:00,2.2,Bill Cosby,7387,Jonathan Reynolds,1987,0,-0.795130375,-80
5000000,Golan-Globus Productions,Jerry Schatzberg,1119112,Street Smart,20.03.1987 00:00,6.4,Christopher Reeve,2096,David Freeman,1987,0,-0.7761776,-80
9000000,Gladden Entertainment,Michael Cimino,5406879,The Sicilian,23.10.1987 00:00,5.3,Christopher Lambert,3889,Mario Puzo,1987,0,-0.399235667,-40
7000000,De Laurentiis Entertainment Group (DEG),Bob Giraldi,7019441,Hiding Out,6.11.1987 00:00,6.4,Jon Cryer,2584,Joe Menosky,1987,1,0.002777286,0
10000000,Orion Pictures,Harley Cokeliss,3060858,Malone,1.05.1987 00:00,5.6,Burt Reynolds,1959,Christopher Frank,1987,0,-0.6939142,-70
6000000,"Samuel Goldwyn Company, The",Mike Hodges,1432687,A Prayer for the Dying,11.09.1987 00:00,6.4,Mickey Rourke,3731,Jack Higgins,1987,0,-0.761218833,-80
5300000,Columbia Pictures,Michael Radford,3107551,White Mischief,6.05.1988 00:00,6.3,Sarah Miles,2171,James Fox,1987,0,-0.413669623,-40
10000000,Rollins-Joffe Productions,Woody Allen,486434,September,18.12.1987 00:00,6.7,Elaine Stritch,7620,Woody Allen,1987,0,-0.9513566,-100
3520000,Independent Film Centre,Lance Hool,562187,Steel Dawn,31.03.1988 00:00,5,Patrick Swayze,3860,Doug Lefler,1987,0,-0.840287784,-80
1300000,Empire Pictures,Renny Harlin,354704,Prison,8.12.1987 00:00,5.9,Lane Smith,3019,Irwin Yablans,1987,0,-0.727150769,-70
25000000,Warner Bros.,Martin Ritt,30950002,Nuts,11.12.1987 00:00,6.7,Barbra Streisand,4996,Tom Topor,1987,1,0.23800008,20
11000000,Bandai Films,Barry Levinson,25411386,Tin Men,13.03.1987 00:00,6.5,Richard Dreyfuss,6960,Barry Levinson,1987,1,1.310126,130
7500000,De Laurentiis Entertainment Group (DEG),William Friedkin,796368,Rampage,30.10.1992 00:00,6.3,Michael Biehn,1625,William P. Wood,1987,0,-0.8938176,-90
