,budget,score_norm,rating,budget_norm,votes_norm,genre,score,runtime,runtime_norm,votes,year,country,isprofit,profitability_ratio
310,35000000,-0.6615209587647051,5,0.2342597083229492,-0.8715336015308586,0,5.7,115,0.6950039277100686,5162,1991,1,0,-0.583207657
311,40000000,0.0471589982023116,6,0.4456867405834793,-0.8842968434717632,4,6.3,138,2.329579662209009,4430,1991,1,0,-0.553493
312,14000000,0.6377256290081593,5,-0.6537338271712773,-0.7170146806561354,4,6.8,85,-1.437051378158115,14024,1991,1,0,-0.804590643
313,26000000,-0.6615209587647051,6,-0.1463089497460049,-0.8840353016287119,4,5.7,115,0.6950039277100686,4445,1991,1,0,-0.520970462
314,17010000,-0.6615209587647051,4,-0.5264547537504382,-0.8635827295020982,4,5.7,96,-0.6552977660064474,5618,1991,1,1,0.331097531
315,22000000,-0.8977476110870444,6,-0.315450575554429,-0.8848199271578658,4,5.5,84,-1.5081198883537206,4400,1991,1,0,-0.499960773
316,16400000,-0.543407632603536,5,-0.5522488516862227,-0.8351618492238542,0,5.8,108,0.1975243563408258,7248,1991,1,1,0.285497866
317,10000000,-0.3071809802811967,5,-0.8228754529797013,-0.923528119929462,4,6.0,97,-0.5842292558108413,2180,1991,1,0,-0.3833181
318,4000000,1.1101789336528378,6,-1.0765878916923377,-0.921557838045142,6,7.2,100,-0.371023725224023,2293,1991,1,0,-0.935247
319,3000000,1.3464055859751771,6,-1.1188732981444434,-0.9286020316846578,5,7.4,129,1.689963070448554,1889,1991,1,0,-0.578363333
320,15000000,-1.3702009157317228,6,-0.6114484207191712,-0.9437714585816348,4,5.1,93,-0.8685032965932658,1019,1991,1,0,-0.6871176
321,40000000,1.7007455644586855,6,0.4456867405834793,2.4559760869968064,6,7.7,138,2.329579662209009,196002,1992,1,1,2.53350445
322,10000000,1.1101789336528378,6,-0.8228754529797013,0.2082854878137144,6,7.2,135,2.1163741316221905,67092,1992,1,0,-0.5839149
323,40000000,1.1101789336528378,4,0.4456867405834793,0.3818620909854441,4,7.2,128,1.618894560252948,77047,1992,1,1,1.6883482
324,55000000,0.2833856505246509,5,1.0799678373650696,0.5287265539201985,4,6.5,104,-0.0867496844415986,85470,1992,1,1,0.06223
