,votes,runtime_norm,score,rating,country,runtime,year,votes_norm,genre,score_norm,budget_norm,budget,popularity,popularity_norm,isprofit,profitability_ratio
83,3267,-1.5906378173453042,5.5,3,1,83,1987,-0.9247376240490944,4,-0.918751125996702,-0.788454789223111,12000000,7.569698,-0.1762703131323611,0,-0.527514083
84,1489,-0.4533929412325029,6.0,5,1,99,1987,-0.9530875239190744,0,-0.3241317215310835,-1.253144454738865,1100000,1.392022,-1.9149814510217145,1,0.23248
85,1025,0.3284629110950479,4.8,5,1,110,1987,-0.960485922985256,4,-1.7512182922485682,-1.0868793450589165,5000000,0.957019,-2.037413343065791,0,-0.82835
86,2453,-0.3823151364754528,5.2,5,1,100,1987,-0.9377167120660594,4,-1.275522768676073,-0.7031906304128809,14000000,2.451513,-1.6167869840096,1,0.445750143
87,130485,0.7549297396373484,7.0,5,1,116,1988,1.10373119578167,4,0.8651070874001535,0.3626113547149954,39000000,7.830087,-0.1029836508852845,1,2.28595641
88,86056,1.4657077872078492,7.3,3,1,126,1988,0.3953185403692202,0,1.2218787300795244,0.1920830370945352,35000000,9.918312,0.4847487044404067,1,0.6362818
89,67238,-0.1690817222043026,7.3,5,1,103,1988,0.0952688127239552,4,1.2218787300795244,-1.1721435038691463,3000000,13.311827,1.4398558235406294,0,-0.630512667
90,83379,-0.8087819650177533,7.3,5,1,94,1988,0.3526342423085137,0,1.2218787300795244,-1.1295114244640314,4000000,11.292364,0.871476580172177,1,2.252232
91,15572,-1.377404403074154,6.2,5,1,86,1988,-0.7285365453651225,8,-0.0862839597448358,-1.150827464166589,3500000,11.841506,1.0260329718772192,1,0.253004571
92,58318,1.4657077872078492,7.6,5,1,126,1988,-0.0469590313931541,0,1.5786503727588954,-0.02107735993104,30000000,5.564321,-0.7406850421610667,1,0.280453533
93,33241,-0.5955485507466031,6.5,5,0,97,1988,-0.4468074223040008,9,0.270487682934535,-1.1721435038691463,3000000,8.541732,0.0973093213786005,1,2.696911667
94,70539,1.6078633967219491,7.8,5,1,128,1988,0.1479026819426298,5,1.816498134545143,-0.6605585510077658,15000000,13.971865,1.625623970337291,1,1.306929533
95,44277,0.5416963253661982,6.7,5,1,113,1988,-0.2708403272730121,4,0.5083354447207826,-0.1063415187412701,28000000,8.318954,0.0346083008205922,1,1.285714286
96,66623,-2.5857270839440054,7.4,0,1,69,1988,0.08546274499615,2,1.3408026109726487,-0.7671387495205535,12500000,13.631352,1.5297863534573968,1,2.84742768
