budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket
24000000,41455230,The Great Outdoors,17.06.1988 00:00,91,6.6,31340,1988,1,0.72730125,70
7000000,50888729,Bull Durham,15.06.1988 00:00,108,7.1,39369,1988,1,6.269818429,630
7500000,18869631,Above the Law,22.04.1988 00:00,99,6,24061,1988,1,1.5159508,150
10000000,3916303,Earth Girls Are Easy,12.05.1989 00:00,100,5.2,17315,1988,0,-0.6083697,-60
31000000,74151346,Oliver & Company,18.11.1988 00:00,74,6.7,35531,1988,1,1.391978903,140
31000000,37903295,The Dead Pool,13.07.1988 00:00,91,6.3,33312,1988,1,0.222686935,20
7500000,5596267,Elvira: Mistress of the Dark,30.09.1988 00:00,96,6.4,9751,1988,0,-0.253831067,-30
32000000,60328558,Scrooged,23.11.1988 00:00,101,7,68098,1988,1,0.885267438,90
23000000,41292551,Tequila Sunrise,2.12.1988 00:00,115,6,24708,1988,1,0.795328304,80
20000000,17637950,Frantic,26.02.1988 00:00,120,6.9,41608,1988,0,-0.1181025,-10
2800000,19170001,Friday the 13th Part VII: The New Blood,13.05.1988 00:00,88,5.3,23959,1988,1,5.846428929,580
8000000,22433275,License to Drive,6.07.1988 00:00,88,6.3,14929,1988,1,1.804159375,180
46630000,8083123,The Adventures of Baron Munchausen,10.03.1989 00:00,126,7.2,43852,1988,0,-0.826654021,-80
13000000,9134733,Dead Ringers,23.09.1988 00:00,116,7.3,32130,1988,0,-0.297328231,-30
10500000,14114488,Poltergeist III,10.06.1988 00:00,98,4.6,14165,1988,1,0.344236952,30
7500000,2983784,Fright Night Part 2,19.05.1989 00:00,104,5.9,9005,1988,0,-0.602162133,-60
3000000,13030057,I'm Gonna Git You Sucka,23.02.1989 00:00,88,6.6,10455,1988,1,3.343352333,330
22000000,17550399,Johnny Be Good,25.03.1988 00:00,91,4.5,5006,1988,0,-0.202254591,-20
1100000,671382,Maniac Cop,13.05.1988 00:00,85,6,10850,1988,0,-0.389652727,-40
10000000,21486757,Married to the Mob,19.08.1988 00:00,104,6.1,13416,1988,1,1.1486757,110
6000000,46616067,Colors,29.04.1988 00:00,120,6.7,20490,1988,1,6.7693445,680
17000000,8578231,El Hotel de los Fantasmas,18.11.1988 00:00,99,5.7,6979,1988,0,-0.495398176,-50
3000000,2835116,Running on Empty,9.09.1988 00:00,116,7.7,11312,1988,0,-0.054961333,-10
1200000,3109904,Night of the Demons,14.10.1988 00:00,90,6.3,9897,1988,1,1.591586667,160
13000000,6424112,Mac and Me,12.08.1988 00:00,95,3.4,8043,1988,0,-0.505837538,-50
4500000,3813293,Critters 2,29.04.1988 00:00,86,5.3,11122,1988,0,-0.152601556,-20
20000000,13854000,My Stepmother Is an Alien,9.12.1988 00:00,105,5.2,22281,1988,0,-0.3073,-30
6200000,9205924,Return of the Living Dead II,15.01.1988 00:00,89,5.8,14998,1988,1,0.484826452,50
22000000,24720479,Gorillas in the Mist,7.10.1988 00:00,129,7,20378,1988,1,0.123658136,10
2000000,725131,Vampire's Kiss,2.06.1989 00:00,103,5.9,10474,1988,0,-0.6374345,-60
2500000,1189315,The Lair of the White Worm,21.10.1988 00:00,93,5.9,7908,1988,0,-0.524274,-50
7000000,19595031,The Serpent and the Rainbow,5.02.1988 00:00,98,6.5,18528,1988,1,1.799290143,180
5000000,3569939,Las travesuras de una pelirojja,29.07.1988 00:00,100,5.9,3474,1988,0,-0.2860122,-30
6000000,5680515,Eight Men Out,2.09.1988 00:00,119,7.3,15946,1988,0,-0.0532475,-10
