,budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,title,year_released,budget_norm,runtime_norm,score_norm,votes_norm,popularity_norm
65,6000000,22847564,Raising Arizona,17.04.1987 00:00,94,7.4,107669,1987,1,2.807927333,280,378,tt0093822,Raising Arizona,14.011415,Raising Arizona,1987,-0.9693362093553498,-0.7925246402401046,1.3677144688367504,0.998021779702173,1.7274399804201315
66,17000000,17185632,Angel Heart,6.03.1987 00:00,113,7.3,67453,1987,1,0.010919529,0,635,tt0092563,Angel Heart,7.290872,Angel Heart,1987,-0.48737957702979867,0.5559156584801591,1.2486941663780011,0.2748490474459637,-0.11445893281089983
67,27000000,25893810,Innerspace,1.07.1987 00:00,120,6.8,45172,1987,0,-0.04097,0,2614,tt0093260,Innerspace,10.134408,Innerspace,1987,-0.04923718400657031,1.0527094527455194,0.653592654084258,-0.1258126704623464,0.6648688489075291
68,2600000,3130592,Maurice,18.09.1987 00:00,140,7.7,11837,1987,1,0.204073846,20,26371,tt0093512,Maurice,5.778465,Maurice,1987,-1.1183046229832474,2.472120293503692,1.724775376212996,-0.7252497857836299,-0.5289642502626304
69,20000000,51249404,Broadcast News,25.12.1987 00:00,133,7.2,22802,1987,1,1.5624702,160,12626,tt0092699,Broadcast News,8.627019,Broadcast News,1987,-0.3559368591228302,1.9753264992383315,1.129673863919253,-0.5280748054477105,0.25173881448673724
70,3500000,14000000,Creepshow 2,1.05.1987 00:00,92,6.0,17500,1987,1,3.0,300,16288,tt0092796,Creepshow 2,9.330087,Creepshow 2,1987,-1.078871807611157,-0.9344657243159218,-0.2985697655857307,-0.62341650592569,0.4444286291531288
71,12000000,40050884,Roxanne,19.06.1987 00:00,107,6.6,34794,1987,1,2.337573667,229,11584,tt0093886,Roxanne,11.394307,Roxanne,1987,-0.7064507735414128,0.13009240625270743,0.4155520491667606,-0.31243209097544916,1.01016931032573
72,20000000,57387516,Dragnet,26.06.1987 00:00,106,5.9,27387,1987,1,1.8693758,190,10023,tt0092925,Dragnet,7.907938,Dragnet,1987,-0.3559368591228302,0.05912186421479883,-0.41759006804447885,-0.44562635265790745,0.054660317641305994
73,14000000,57915972,Throw Momma from the Train,11.12.1987 00:00,88,6.2,28550,1987,1,3.136855143,310,11896,tt0094142,Throw Momma from the Train,6.573364,Throw Momma from the Train,1987,-0.6188222949367672,-1.2183478924675561,-0.06052916066823322,-0.42471303737011223,-0.3111063176181352
74,3000000,3221568,Barfly,16.10.1987 00:00,100,7.3,15647,1987,1,0.073856,10,10937,tt0092618,Barfly,15.170192,Barfly,1987,-1.1007789272623183,-0.36670138801265284,1.2486941663780011,-0.6567375491142406,2.0450259399143444
75,6000000,3685862,Three O'Clock High,9.10.1987 00:00,97,7.2,8970,1987,0,-0.385689667,-40,13339,tt0094138,Three O'Clock High,3.552005,Three O'Clock High,1987,-0.9693362093553498,-0.5796130141263787,1.129673863919253,-0.7768047943219866,-1.1391700408293095
76,15000000,13290368,The Pick-up Artist,18.09.1987 00:00,81,5.2,5348,1987,0,-0.113975467,-10,17258,tt0093737,The Pick-up Artist,3.799983,The Pick-up Artist,1987,-0.5750080556344443,-1.7151416867329166,-1.2507321852557194,-0.8419363746937787,-1.0712067216889953
77,16000000,14792779,Radio Days,30.01.1987 00:00,88,7.6,26467,1987,0,-0.075451313,-10,30890,tt0093818,Radio Days,8.782912,Radio Days,1987,-0.5311938163321215,-1.2183478924675561,1.6057550737542468,-0.46216998985891483,0.29446440188054207
78,17000000,10278549,Someone to Watch Over Me,9.10.1987 00:00,106,6.1,7854,1987,0,-0.395379471,-40,31650,tt0094008,Someone to Watch Over Me,3.50111,Someone to Watch Over Me,1987,-0.48737957702979867,0.05912186421479883,-0.17954946312698247,-0.7968729455353825,-1.1531188311560576
79,6000000,12423831,The Fourth Protocol,28.08.1987 00:00,119,6.5,7532,1987,1,1.0706385,110,4918,tt0093044,The Fourth Protocol,3.246823,The Fourth Protocol,1987,-0.9693362093553498,0.9817389107076109,0.2965317467080124,-0.8026632185557351,-1.2228112576383787
80,27000000,7393346,Ironweed,12.02.1988 00:00,143,6.8,6874,1987,0,-0.72617237,-70,40962,tt0093277,Ironweed,2.601933,Ironweed,1988,-0.04923718400657031,2.6850319196174177,0.653592654084258,-0.8144955155973251,-1.3995562305004765
81,5000000,6880310,Death Wish 4: The Crackdown,6.11.1987 00:00,99,5.3,6770,1987,1,0.376062,40,26263,tt0092857,Death Wish 4: The Crackdown,4.566325,Death Wish 4: The Crackdown,1987,-1.0131504486576728,-0.4376719300505615,-1.1317118827969712,-0.8163656658896129,-0.8611754047309319
82,4000000,800000,The Barbarians,20.03.1987 00:00,87,4.9,2538,1987,0,-0.8,-80,27551,tt0092615,The Barbarians,1.489798,The Barbarians,1987,-1.0569646879599954,-1.289318434505465,-1.607793092631965,-0.8924663970142468,-1.7043590191838007
83,55000000,14375181,Ishtar,15.05.1987 00:00,107,4.2,9094,1987,0,-0.738633073,-70,12704,tt0093278,Ishtar,3.986985,Ishtar,1987,1.1775615164584692,0.13009240625270743,-2.4409352098432056,-0.7745749997427204,-1.0199550920852523
84,22000000,11307844,Extreme Prejudice,24.04.1987 00:00,96,6.6,4924,1987,0,-0.486007091,-50,20287,tt0092997,Extreme Prejudice,6.407061,Extreme Prejudice,1987,-0.2683083805181845,-0.6505835561642873,0.4155520491667606,-0.8495608335777212,-0.3566849732367452
85,4000000,1680358,Matewan,30.06.1988 00:00,135,7.9,6198,1987,0,-0.5799105,-60,24276,tt0093509,Matewan,3.350126,Matewan,1988,-1.0569646879599954,2.1172675833141485,1.9628159811304935,-0.8266514924971957,-1.1944990091439482
86,5000000,1119112,Street Smart,20.03.1987 00:00,97,6.4,2096,1987,0,-0.7761776,-80,60631,tt0094056,Street Smart,7.721588,Street Smart,1987,-1.0131504486576728,-0.5796130141263787,0.1775114442492642,-0.9004145357564699,0.003587381647800298
87,9000000,5406879,The Sicilian,23.10.1987 00:00,115,5.3,3889,1987,0,-0.399235667,-40,31945,tt0093966,The Sicilian,5.979288,The Sicilian,1987,-0.8378934914483813,0.6978567425559764,-1.1317118827969712,-0.8681724254288545,-0.4739246998197872
88,7000000,7019441,Hiding Out,6.11.1987 00:00,98,6.4,2584,1987,1,0.002777286,0,26156,tt0093186,Hiding Out,2.026942,Hiding Out,1987,-0.925521970053027,-0.5086424720884701,0.1775114442492642,-0.8916392151541964,-1.5571439876233197
89,10000000,3060858,Malone,1.05.1987 00:00,92,5.6,1959,1987,0,-0.6939142,-70,27342,tt0093483,Malone,4.904109,Malone,1987,-0.7940792521460586,-0.9344657243159218,-0.7746509754207256,-0.9028780991222721,-0.7685989592700768
90,6000000,1432687,A Prayer for the Dying,11.09.1987 00:00,107,6.4,3731,1987,0,-0.761218833,-80,33851,tt0093771,A Prayer for the Dying,2.527521,A Prayer for the Dying,1987,-0.9693362093553498,0.13009240625270743,0.1775114442492642,-0.871013615295984,-1.4199503239437217
91,5300000,3107551,White Mischief,6.05.1988 00:00,107,6.3,2171,1987,0,-0.413669623,-40,60041,tt0094317,White Mischief,7.312595,White Mischief,1988,-1.000006176866976,0.13009240625270743,0.058491141790514976,-0.8990658696803009,-0.1085053111925102
92,3520000,562187,Steel Dawn,31.03.1988 00:00,100,5.0,3860,1987,0,-0.840287784,-80,27786,tt0094033,Steel Dawn,2.605644,Steel Dawn,1988,-1.0779955228251106,-0.36670138801265284,-1.4887727901732168,-0.8686939096449732,-1.398539156899876
93,25000000,30950002,Nuts,11.12.1987 00:00,116,6.7,4996,1987,1,0.23800008,20,40634,tt0093660,Nuts,2.258245,Nuts,1987,-0.136865662611216,0.7688272845938849,0.5345723516255099,-0.8482661141445988,-1.4937507849718261
94,11000000,25411386,Tin Men,13.03.1987 00:00,112,6.5,6960,1987,1,1.310126,130,10896,tt0094155,Tin Men,6.477975,Tin Men,1987,-0.7502650128437357,0.4849451164422505,0.2965317467080124,-0.8129490451633179,-0.3372495764938235
